x,y,z,reachable,left_ok,right_ok,left_error,right_error,left_joint_margin,right_joint_margin,left_sigma_min,right_sigma_min
-0.75,0.2,0.2,0,0,1,0.13562044295303755,0.0005205072093596488,0.0,0.09569361890239758,0.15449513616901991,0.14770975681626639
-0.6,0.2,0.2,0,0,0,0.2151170955663766,0.06268111560021719,0.0,0.0,0.19990088739074563,0.09858707308516108
-0.44999999999999996,0.2,0.2,0,0,1,0.21697377538515028,9.374410416866262e-05,0.0,0.10900827291783388,0.20894258239452693,0.06990471659713236
-0.29999999999999993,0.2,0.2,1,1,1,0.00030294202815544916,0.000208448546733102,0.18581457079800723,0.36386411575398103,0.07586336968371342,0.1321806076127581
-0.1499999999999999,0.2,0.2,1,1,1,8.384686062920419e-06,3.658685086674834e-05,0.2872356308203967,0.25974800707330825,0.18289589134330275,0.1827442607608653
-0.1499999999999999,0.35,0.2,1,1,1,0.00011425885846310754,0.0015151190957937764,0.20778786263387694,0.6307698479964188,0.1956083611949188,0.16856448823658626
-0.29999999999999993,0.35,0.2,1,1,1,9.51605976132555e-06,1.859151851583836e-05,0.48660098157018705,0.7224542350175631,0.15982875038156708,0.17939313932509052
-0.44999999999999996,0.35,0.2,1,1,1,2.0167520780983877e-05,2.7431783718346217e-05,0.4306366873153189,0.4929933470911254,0.09649594531364165,0.1414467331845475
-0.6,0.35,0.2,1,1,1,0.00010974982720897942,2.0681825443094675e-05,0.20685737176041008,0.3648465844163242,0.09261033853837371,0.13797276186179888
-0.75,0.35,0.2,1,1,1,0.001988840078405543,8.582499195021577e-06,0.0,0.45212194596932864,0.0229453051888385,0.18032927492061765
-0.75,0.49999999999999994,0.2,0,0,1,0.5169905961921967,0.00194582511680386,0.0,0.8816970659805721,0.15128408948397942,0.202566893386508
-0.6,0.49999999999999994,0.2,1,1,1,0.0005569532130141356,6.72132638303306e-06,0.29837717983590073,0.8138382654147658,0.050454919507734876,0.19209231964586332
-0.44999999999999996,0.49999999999999994,0.2,1,1,1,0.000718335250337933,5.648288374380937e-06,0.4469510522834583,0.9227790485771439,0.10798763832113882,0.18861270841372849
-0.29999999999999993,0.49999999999999994,0.2,1,1,1,2.5591074530300727e-05,1.1550961686625664e-05,0.3576922301954042,0.8714414847365783,0.13618722305916428,0.1746362820555438
-0.1499999999999999,0.49999999999999994,0.2,1,1,1,0.0010764908931365407,4.9295290866092335e-05,0.12164654266970576,0.6593510631123267,0.14306058429512858,0.12581715888044478
-0.1499999999999999,0.6499999999999999,0.2,0,0,0,0.14640822239810247,0.015361358247921295,0.0,0.013820171841599116,0.0013808500181923145,0.021987958436675937
-0.29999999999999993,0.6499999999999999,0.2,0,0,1,0.060844923149831635,0.00017299668948683134,0.0,0.6482380756485113,0.018272952330361428,0.11876102413378298
-0.44999999999999996,0.6499999999999999,0.2,0,0,1,0.11397769427762068,3.455037775065407e-05,0.08943729352668406,0.8119966987362776,0.03486176145396476,0.156306902214543
-0.6,0.6499999999999999,0.2,0,0,1,0.4232524652920491,1.2344412067240909e-05,0.387925326922713,0.8949712779412649,0.12559577817737075,0.16901688129205739
-0.75,0.6499999999999999,0.2,0,0,1,0.274299385252271,0.0014046231074172875,0.0,0.8858849776397826,0.018904857760960375,0.16258430807311033
-0.75,0.7999999999999998,0.2,0,0,0,0.3253468241199183,0.024411530673348978,0.0,0.06766534009315195,0.12673717170104995,0.021831517258105608
-0.6,0.7999999999999998,0.2,0,0,0,1.1874692120442838,0.0036619145272040235,0.0,0.08599181694559666,0.022994119782451892,0.0003030483818346016
-0.44999999999999996,0.7999999999999998,0.2,0,0,0,0.2898950011297193,0.02174032713660136,0.0,0.03386464662011135,0.04986378980834147,0.042382931051629734
-0.29999999999999993,0.7999999999999998,0.2,0,0,0,0.4379470993342054,0.13372639048535234,0.0,0.03277732725692073,0.002198412471163194,0.01656575291987412
-0.1499999999999999,0.7999999999999998,0.2,0,0,0,0.5065932903298075,2.3562636437572086,0.0,0.0,0.0960580807416846,0.04234636158655917
-0.1499999999999999,0.9499999999999997,0.2,0,0,0,0.28232277936914507,2.6655359148747584,0.0,0.0,0.045236498120134555,0.045571845676607686
-0.29999999999999993,0.9499999999999997,0.2,0,0,0,0.34269279426510385,2.6048342918537357,0.0,0.0,0.20184205252408263,0.045571845676607686
-0.44999999999999996,0.9499999999999997,0.2,0,0,0,0.7590578923473073,3.0632518168551828,0.0,0.0,0.21164489702124764,0.028513648979745374
-0.6,0.9499999999999997,0.2,0,0,0,2.26776792445592,2.6912059630710625,0.0,0.0,0.11777333664046755,0.12134401489504444
-0.75,0.9499999999999997,0.2,0,0,0,1.8498628261743695,2.591229054090556,0.0,0.0,0.12773706334419693,0.13533912340829574
-0.75,0.9499999999999997,0.35,0,0,0,2.416111341056858,2.281581037976474,0.0,0.0,0.196128805949468,0.13066877266509083
-0.6,0.9499999999999997,0.35,0,0,0,0.950470612351805,2.499826829405577,0.0,0.0,0.0454188899676003,0.046231431011805074
-0.44999999999999996,0.9499999999999997,0.35,0,0,0,0.3526573822309982,1.742095777367515,0.0,0.0,0.04505193781879491,0.0537918233199205
-0.29999999999999993,0.9499999999999997,0.35,0,0,0,2.1021918506211876,1.8724571597568451,0.0,0.0,0.12953226683737326,0.09399164481787238
-0.1499999999999999,0.9499999999999997,0.35,0,0,0,2.2814615895960384,2.311813894700867,0.0,0.0,0.02516707276393574,0.13116305392328362
-0.1499999999999999,0.7999999999999998,0.35,0,0,0,0.34986660056513624,2.5221665518365906,0.0,0.0,0.04707541654488855,0.04436655690501981
-0.29999999999999993,0.7999999999999998,0.35,0,0,0,0.7776518673002497,0.37327346124850114,0.0,0.25047306309011286,0.07337476310798198,0.05993073340991949
-0.44999999999999996,0.7999999999999998,0.35,0,0,0,1.4678116942483388,0.009799214817613575,0.0,0.22361772564408228,0.04696541585732273,0.013246213721103755
-0.6,0.7999999999999998,0.35,0,0,1,0.49677926551776874,0.0006792850450203481,0.0,0.5490251653874696,0.08703825830073458,0.039953545058462735
-0.75,0.7999999999999998,0.35,0,0,0,2.010619943628663,0.008145932144516843,0.0,0.23912010484945467,0.20358983895181107,0.00889106648918195
-0.75,0.6499999999999999,0.35,0,0,1,0.1021532341434633,6.370378188795862e-05,0.0,0.9517597395355026,0.10123280019891458,0.1562570237225798
-0.6,0.6499999999999999,0.35,0,0,1,0.21165221693397895,1.1540974341565666e-05,0.0,0.9579106866044621,0.04681789386039431,0.15932021661782397
-0.44999999999999996,0.6499999999999999,0.35,0,0,1,0.05947216295170274,1.3689118621356094e-05,0.0,0.8794885065363096,0.04736544394469421,0.15068429677546297
