t,phase,object_pos_x,object_pos_y,object_pos_z,object_quat_w,object_quat_x,object_quat_y,object_quat_z,object_linvel_x,object_linvel_y,object_linvel_z,object_angvel_x,object_angvel_y,object_angvel_z,F_meas_left_Fx,F_meas_left_Fy,F_meas_left_Fz,F_meas_left_Tx,F_meas_left_Ty,F_meas_left_Tz,F_meas_right_Fx,F_meas_right_Fy,F_meas_right_Fz,F_meas_right_Tx,F_meas_right_Ty,F_meas_right_Tz,F_star_left_Fx,F_star_left_Fy,F_star_left_Fz,F_star_left_Tx,F_star_left_Ty,F_star_left_Tz,F_star_right_Fx,F_star_right_Fy,F_star_right_Fz,F_star_right_Tx,F_star_right_Ty,F_star_right_Tz,qdot_left_j1,qdot_left_j2,qdot_left_j3,qdot_left_j4,qdot_left_j5,qdot_left_j6,qdot_left_j7,qdot_right_j1,qdot_right_j2,qdot_right_j3,qdot_right_j4,qdot_right_j5,qdot_right_j6,qdot_right_j7,torque_left_j1,torque_left_j2,torque_left_j3,torque_left_j4,torque_left_j5,torque_left_j6,torque_left_j7,torque_right_j1,torque_right_j2,torque_right_j3,torque_right_j4,torque_right_j5,torque_right_j6,torque_right_j7,torque_clipped_left_j1,torque_clipped_left_j2,torque_clipped_left_j3,torque_clipped_left_j4,torque_clipped_left_j5,torque_clipped_left_j6,torque_clipped_left_j7,torque_clipped_right_j1,torque_clipped_right_j2,torque_clipped_right_j3,torque_clipped_right_j4,torque_clipped_right_j5,torque_clipped_right_j6,torque_clipped_right_j7,vel_clipped_left,vel_clipped_right,release_actual_pos_x,release_actual_pos_y,release_actual_pos_z,release_actual_vel_x,release_actual_vel_y,release_actual_vel_z,x_ref_x,x_ref_y,x_ref_z,v_ref_x,v_ref_y,v_ref_z,v_obj_cmd_x,v_obj_cmd_y,v_obj_cmd_z,ee_cmd_left_vx,ee_cmd_left_vy,ee_cmd_left_vz,ee_cmd_left_wx,ee_cmd_left_wy,ee_cmd_left_wz,ee_cmd_right_vx,ee_cmd_right_vy,ee_cmd_right_vz,ee_cmd_right_wx,ee_cmd_right_wy,ee_cmd_right_wz,ee_actual_left_vx,ee_actual_left_vy,ee_actual_left_vz,ee_actual_left_wx,ee_actual_left_wy,ee_actual_left_wz,ee_actual_right_vx,ee_actual_right_vy,ee_actual_right_vz,ee_actual_right_wx,ee_actual_right_wy,ee_actual_right_wz
0.0,APPROACH_PREGRASP,-0.42,0.25,0.39996076,0.7071067811865476,0.0,0.0,0.7071067811865476,0.0,0.0,-0.019620000000000002,0.0,0.0,0.0,4.574377784859577e-32,-1.5951762783838367e-32,1.961999999999994,-1.1102230246251532e-16,9.586095741334994e-34,-2.3242760527440572e-48,2.848080248279278e-32,1.563091037178985e-33,1.9619999999999962,8.673617379884017e-19,2.2491514777151924e-35,1.359971330789718e-50,-3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.05852778554683,0.0,23.33944079688844,0.8312436327940776,2.4658456373408004,1.2069392366078366e-17,0.0,-31.058527785546822,0.0,23.339440796888443,0.8312436327940784,2.4658456373408075,-2.803779342487487e-18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,APPROACH_PREGRASP,-0.42,0.25,0.3989806395817627,0.7071067811865476,6.595449411192944e-19,6.595449411192944e-19,0.7071067811865476,-3.37174129809527e-18,-3.700743415417187e-18,-0.03646907952653403,-3.975407965780184e-17,7.806255641895634e-17,5.7824115865893634e-18,-0.7133762285843467,-0.01541920177354414,1.9064286144504312,0.01428027012983864,0.015094819678906007,-0.01710660231316226,-0.6500212494688802,0.5696434118573643,1.3153959435876066,0.013977842720934443,0.010750468119975862,-0.021948964797820457,-3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.265073598330321,-0.12066580876188554,-0.23414030180324524,-0.22662810716177184,0.29470631748311316,0.4129362527029713,0.3901660432568567,0.20148868420564403,0.04021774742198549,-0.17495318024853962,-0.09659655087731449,-0.29400219649887444,0.4172462460503366,0.389682229839843,10.663293456663656,-39.10854635869452,3.3642191380841453,19.0925917538985,3.7893843318964984,4.5979753137003145,1.8465451057031947,-1.7681121684732803,-11.603534212911224,-7.926300608419445,11.754933452175283,-2.059766041299481,4.4231947402927725,1.8530474923253986,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05277884306988948,0.007920984212218325,-0.003561971634399516,0.3058931977986066,0.2963704313342489,-0.3605947467293207,-0.0581040350081138,0.020887934603545613,-0.03099684004661197,0.29292265112271976,0.28160549356865083,-0.36171488644924316
0.04,APPROACH_PREGRASP,-0.42,0.25,0.3987735041703325,0.7071067811865476,9.964693147192263e-19,9.964693147192263e-19,0.7071067811865476,-2.3663403061624956e-18,3.0839528461810093e-19,0.0021638257351221063,-3.108046227791778e-17,8.67361737988403e-18,1.1564823173178722e-17,-0.8398077228926496,-0.04837700325952848,1.9465423186368094,0.013916782692037624,0.01610863554586501,-0.01633149865309564,-0.7105394619911719,1.1492106307415502,0.8076489745906529,0.014445642094510089,0.0058746620094851055,-0.026485002395422976,-3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5574394761566619,-0.26875818928073675,-0.44435428840931673,-0.48445243432235574,0.5934506890287162,0.8121843717629982,0.7909850494075814,0.24662941160436117,0.13682307874004346,-0.3269164356911921,-0.2619224215420367,-0.5847098376711288,0.8267322438889477,0.7895605294517232,12.702196106745944,-39.93463656707883,4.880742558633467,19.409150154922035,4.007670581605346,4.700265227729359,1.9245649689388504,-10.960541558554981,-1.342176641101478,-15.3628995517366,5.220272211964058,-2.853519433503467,3.8275776864652267,1.9652473607649414,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1322660016960907,0.004256615787465222,-0.006997399349405505,0.5866081813324184,0.6079235717174803,-0.6893179017449307,-0.12695456478232556,0.1139442099371531,-0.12570580034575213,0.5782933680705519,0.43686585071206674,-0.8570253720590432
0.06,APPROACH_PREGRASP,-0.42,0.25,0.3988737024941216,0.7071067811865476,1.8611784329272663e-18,1.8611784329272663e-18,0.7071067811865476,-3.178084078184698e-18,-6.167905692361959e-19,0.004976300824713265,-2.9634859381270446e-17,-7.806255641895633e-17,2.3129646346357444e-17,-0.8501711687306943,-0.08328774991578834,1.985860893982235,0.013036806710711573,0.017597235715816097,-0.016779118596902683,-0.2091608340066134,1.3769643711252757,0.2629191031870344,0.014727240058789713,-0.015332324064216876,-0.027852588251900547,-3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.858311804807407,-0.41938859154324787,-0.645001104465814,-0.7399304559130997,0.8940315817743212,1.211593464021228,1.1916098434681375,0.2609614507663828,0.2645878630880878,-0.5142123356212086,-0.45245006840999835,-0.8824909909450818,0.9842967670319571,1.190073805635655,12.853026376373094,-40.2836699461893,4.947816676632896,19.641146807997735,4.10040353448651,4.805551949681593,2.009174762355348,-14.212203725414764,4.124107435653528,-18.575434928863196,0.06136547331593789,-3.2128230228892973,0.9228928808685171,2.056006711364606,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21740355457440488,-0.002536559064203447,-0.006361965090452613,0.8550847669676317,0.9444296500912482,-1.0171191861167301,-0.16876884448211107,0.24296801368541407,-0.27177206952399247,0.8682816911237138,0.29493354995930704,-1.4027640316170895
0.08,APPROACH_PREGRASP,-0.42,0.25,0.39893662731792284,0.7071067811865476,2.46489796772947e-18,2.46489796772947e-18,0.7071067811865476,-5.7792083347625914e-18,6.167905692362002e-19,0.0017174259934836396,-6.14381231075119e-17,2.8912057932947144e-18,5.782411586589356e-18,-0.795040396747771,-0.12987711051228704,2.0215276133710685,0.011480589621085764,0.01962156720537513,-0.01792851596653314,-0.11465949050709523,1.4616961742988073,0.012749338201435643,0.015788500330303486,-0.018212670381553563,-0.007457785033031614,-3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.1630668477847683,-0.571157802383509,-0.8417695099867308,-0.9932282747105728,1.195449317035968,1.611294668650486,1.5921356345472715,0.2619715315973166,0.40385528745318117,-0.7148308651577684,-0.6817982476445726,-1.1835036130416485,0.9891080789708442,1.453746329840383,12.09553606864385,-40.35309464980698,4.115599993770258,19.738954263942667,4.131046182969036,4.897622414083436,2.0974691552353395,-15.43378207091618,7.685603267663112,-19.744011578337222,-3.1219489732088945,-3.3848671459971778,0.4240663787854646,0.5929546493173246,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2997352229991658,-0.01347830830410927,-0.001990657483330682,1.0987290663129468,1.3166016885160094,-1.3622032130015689,-0.1848902750740672,0.3859046699877216,-0.4567049691723036,1.1711691062786356,-0.04160340379451422,-1.8186334731409135
0.1,APPROACH_PREGRASP,-0.42,0.25,0.3989501091506948,0.7071067811865476,3.07235746154325e-18,3.07235746154325e-18,0.7071067811865476,-6.7896615984560946e-18,-6.167905692361956e-19,0.00011453623543156399,-1.0769741580022677e-16,-3.758567531283078e-17,1.734723475976808e-17,-0.693360988944338,-0.1856438282443027,2.052262600665385,0.00917230702728376,0.022141262239803762,-0.01950300497195996,0.05433519081136557,1.4594230728068973,-0.1226869968187272,0.01573865768867026,-0.01988214227193813,-0.006075624216815271,-3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.4695327933341864,-0.7235759700471758,-1.036764484999656,-1.2449323158111896,1.4972498067715105,2.011202442814863,1.9926039954837849,0.2578706530395259,0.5566385218248658,-0.9206570802781855,-0.9337014772096465,-1.4848232185979173,0.9913678683491297,1.4539372255585106,10.76419537563225,-40.14936062402511,2.700532150904847,19.690440138562217,4.126197301390037,4.979584560218351,2.188232940023889,-15.81797055350718,8.74149975834601,-20.05372800777423,-4.916798554844011,-3.3763933245224846,0.013999470294531857,0.5825955304715305,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3739249027656474,-0.02962574526991981,0.00571542720312708,1.303278265190036,1.7348018541157528,-1.7353443141738298,-0.18774828766304932,0.53269389707639,-0.6597664035182318,1.4917728597352218,-0.42524919343825396,-1.9524792011301675
0.12,APPROACH_PREGRASP,-0.42,0.25,0.398948310599381,0.7071067811865476,4.031108615306732e-18,4.031108615306732e-18,0.7071067811865476,-9.891497732555689e-18,2.311115933264683e-33,-0.000149010243263745,-1.2793585635328952e-16,-6.649773324577756e-17,1.734723475976808e-17,-0.7983768285508855,-0.4824797149939499,2.351893738247186,-0.0065104597111583585,0.023043586766061063,-0.01701198630891971,0.05885043123957014,1.164099663398772,0.31535251151196997,0.0023235800569668323,-0.015023882873848978,-0.006714969193527919,-3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.7551158460497005,-0.8471306863894669,-1.2066590893183784,-1.3882137791629137,1.7946254344407588,2.106339386359136,2.3935178417179825,0.2462507120567959,0.7532829090597682,-1.1340630586716212,-1.0935970938450623,-1.4869514961362476,0.9759865238993345,1.4538088745207411,11.456662424297576,-43.3345730592721,5.169256150371376,25.63882219026665,4.304614320114314,3.4887965104214533,2.2685986853359656,-15.111891543691685,3.27377758958238,-19.25363022088214,1.7564309704411727,-1.677248660174302,0.5845448216676599,0.5901863554027303,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4406192547637676,-0.07299835600109533,0.021456475427431954,1.228018539136907,2.191353843832536,-2.107565385911187,-0.18418361862019367,0.6519249046698684,-0.8472720085486589,1.5286903394631328,-0.77748058675867,-2.096684859778823
0.14,APPROACH_PREGRASP,-0.42,0.25,0.39894607722589726,0.7071067811865476,4.992460886251429e-18,4.992460886251429e-18,0.7071067811865476,-9.83098954489972e-18,2.3111117537292135e-33,-7.170134355859323e-05,-1.1492543028346345e-16,2.0238440553062838e-17,1.734723475976808e-17,-1.3092423922186658,-0.6314211808567279,2.622403885770774,-0.00787183095260134,0.02546151350843521,-0.011404503976023418,0.29857815476552096,1.1175177484464485,0.6243567972737277,0.0029677466407968898,-0.01223494236384779,-0.005900517923879735,-3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0139437629140304,-0.9729092163213575,-1.2504886872526586,-1.433728466587652,2.089003632576821,2.1043086022626944,2.7948120867875685,0.2386282953705088,0.9520737674752945,-1.3435013743043605,-1.1689608141962076,-1.4901311580107761,0.9699604672945902,1.453886440558528,18.40907324886514,-47.55888358739667,12.754902211664197,28.62121038474769,4.858282493718536,3.645240211404926,2.326053612907878,-14.836123154919981,-4.581644669106765,-18.89869317674194,5.499375906801745,-1.612422656734835,0.7389970437708087,0.5919445286305681,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5533595320666727,-0.13018053904649474,0.07630836498759778,1.0864115356505193,2.678129296393328,-2.37698628595139,-0.16562887788421046,0.7656734438126871,-0.9940500011244077,1.5825730957378124,-1.0445386925506752,-2.221712254263801
0.16,APPROACH_PREGRASP,-0.42,0.25,0.39894539998897083,0.7071067811865476,6.2585918267240675e-18,6.2585918267240675e-18,0.7071067811865476,-1.3068384209557074e-17,9.251858538542992e-19,-1.1423647307573493e-05,-1.4528309111305757e-16,-1.0697461435190305e-16,5.782411586589356e-18,-0.6323416758305298,-0.6958468904095387,2.7301884926001745,-0.005146293678999203,0.009112597416987368,0.0069000818362110325,0.8170700891756606,1.06193023568748,1.193384308271835,0.0029116535023445502,-0.008531830040220055,-0.005226015123898633,-3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.229778296101231,-1.1151599704777462,-1.2070770886531643,-1.4526823768938366,2.2557793657769536,2.1011846251601636,2.8857557904580435,0.23456198555840746,1.052088601010578,-1.5491859147788138,-1.278134350544314,-1.4930243416883562,0.9638555807405196,1.4537049843619703,10.629424615983055,-49.17115490571125,8.118043346921558,30.10906645701302,3.046045487781857,3.8222572408954223,0.8163999890584217,-15.08775418691878,-22.742738442163464,-19.122424062968037,11.378914839949935,-1.5459533186527457,0.8614017757454941,0.6020816490989134,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6669569840961705,-0.1988010509074055,0.15037524559524032,0.9688735426021937,3.024255446522677,-2.286795651511517,-0.09987966982316206,0.8739470946046352,-1.0971763018618135,1.640485944251883,-1.2527949764844415,-2.330698534549578
0.18,APPROACH_PREGRASP,-0.42,0.25,0.3989453854688488,0.7071067811865476,7.425849566045993e-18,7.425849566045993e-18,0.7071067811865476,-1.4667543253338198e-17,-3.0839528461809645e-19,3.602317662454457e-06,-1.7419514904600439e-16,-1.0697461435190305e-16,-3.469446951953618e-17,0.15054062748317856,-0.6651864822937146,2.7488648955118773,-0.00562658757302214,0.00964244534691665,0.0016012374606175755,0.820830185685482,1.0287617291032385,1.689412501666884,0.0036144999743371185,0.0024924508488764997,-0.0033009385455113277,-3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.290970473475263,-1.2631398894077122,-1.1438136962268035,-1.456081327613233,2.263221880464233,2.0969761154439697,2.884586015009893,0.2316158751750186,1.099043255080562,-1.7536357059988632,-1.3551643198723868,-1.4948496665037772,0.972609350444983,1.4535983718523802,0.16393245763288977,-49.598080946683865,-2.714476171815216,30.531899398134115,2.6004530808490918,4.142753941924848,0.8475521385291251,-15.509939907087322,-32.47252765967261,-19.638001400490886,16.259807773138768,-1.5362862988755928,2.125676598130375,0.6100507347314565,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6820544285630269,-0.2669181984791594,0.22868981110446016,0.8614488596472989,3.212516205321549,-2.2170872571266247,-0.009361026253167799,0.9781808889164888,-1.1472997691917963,1.7022033856079344,-1.3670898057007361,-2.4284177110154253
