x,y,z,reachable,left_ok,right_ok,left_error,right_error,left_joint_margin,right_joint_margin,left_sigma_min,right_sigma_min
-0.09999999999999942,0.2,0.15,0,0,1,0.2724318589528265,3.4215073767336014e-05,0.0,0.2839988592685154,0.1612010053846753,0.17622923804784546
-0.14999999999999947,0.2,0.15,0,0,1,0.3843918546433709,4.7737543361156566e-05,0.0,0.2981688308966488,0.10352922974795814,0.1895855372055096
-0.1999999999999995,0.2,0.15,0,0,1,0.16553953810903002,3.492418868476606e-05,0.0,0.3257871117307758,0.09923342103430585,0.19378507922319144
-0.24999999999999956,0.2,0.15,0,0,1,0.014059427989730325,3.3205353171506794e-05,0.0,0.3663988449611879,0.10989232300826024,0.18671833164951848
-0.2999999999999996,0.2,0.15,0,0,1,0.009492078161697469,3.831936867421721e-05,0.0,0.42112530641318235,0.11964148467773214,0.17015873772782236
-0.34999999999999964,0.2,0.15,1,1,1,0.0010547334118559673,5.020269467286806e-05,0.0379046767132869,0.42146789399186213,0.13140521530957192,0.1494960199692402
-0.3999999999999997,0.2,0.15,1,1,1,0.00013491735466636555,7.358264939203896e-05,0.10677614809559222,0.3047242054786694,0.15133609872511825,0.12975403438460975
-0.44999999999999973,0.2,0.15,1,1,1,0.00011418823590462846,0.00012174143999740087,0.04111776674829537,0.2037613532041309,0.17439805449312692,0.1148977747542171
-0.4999999999999998,0.2,0.15,1,1,1,0.0019216605429552666,0.00019979026664412172,0.0,0.12352324711622398,0.19920792862718026,0.10777445303616187
-0.5499999999999998,0.2,0.15,1,1,1,0.001837019754068323,0.00025523299902365074,0.0,0.06965972678617938,0.22361576822798782,0.10919554972636752
-0.5999999999999999,0.2,0.15,1,1,1,0.0018953716425133742,0.00020716740873256124,0.0,0.0460975654750988,0.23028035502980074,0.11792021706635614
-0.6499999999999999,0.2,0.15,1,1,1,0.001953340253950539,6.601571754342447e-05,0.0,0.05417860684614517,0.22144738707592612,0.13182526271674708
-0.7,0.2,0.15,1,1,1,0.0019539751625161743,0.00011944186478598648,0.0,0.09318821557074441,0.20634268785683146,0.14886430599143272
-0.75,0.2,0.15,1,1,1,0.0019720665261616257,0.00018790096857088624,0.0,0.16029024609956277,0.1867511264916752,0.1681202085472356
-0.75,0.25,0.15,1,1,1,0.0019580390409067675,5.9713917502321116e-05,0.0,0.2682272390419529,0.17996561714280512,0.18681883523534054
-0.7,0.25,0.15,1,1,1,4.556576080394771e-05,0.0001313468306808968,0.0024982707122747083,0.20836894812500129,0.19908624393550833,0.1694802532316407
-0.6499999999999999,0.25,0.15,1,1,1,0.00026016503433486186,0.00011554259415738169,0.0,0.17399761282377835,0.21338845727261888,0.1541167019718056
-0.5999999999999999,0.25,0.15,1,1,1,0.001573333296772537,6.37233131058082e-05,0.0,0.16719110166625928,0.22284860436972093,0.14197156803299704
-0.5499999999999998,0.25,0.15,1,1,1,0.00134568553621666,8.209295163089029e-05,0.0,0.18853115536062726,0.22578929177703191,0.1344928305653702
-0.4999999999999998,0.25,0.15,1,1,1,0.001595269072890924,0.00014484602752062756,0.0,0.23700663191715865,0.2179768698904354,0.13305210574925258
-0.44999999999999973,0.25,0.15,1,1,1,0.0016249788872863301,0.0001601194633335625,0.0,0.30996637007350314,0.20032927958726468,0.1384395013255991
-0.3999999999999997,0.25,0.15,1,1,1,0.0015517269934721414,0.00012838479354422092,0.0,0.40355643494768145,0.1794055760650405,0.15010568444835556
-0.34999999999999964,0.25,0.15,1,1,1,0.0018380494832666687,8.77657465651096e-05,0.0,0.5139281113994492,0.15967462458590134,0.16570327265020854
-0.2999999999999996,0.25,0.15,1,1,1,0.0016873900166796357,6.165436727942413e-05,0.0,0.530985168508022,0.1433497014183695,0.1813367662253209
-0.24999999999999956,0.25,0.15,1,1,1,0.0018686044986187262,4.940869279963778e-05,0.0,0.4764500098050637,0.13179259812167232,0.19201196987022057
-0.1999999999999995,0.25,0.15,0,0,1,0.21879406429484732,4.6951407836448815e-05,0.0,0.43619058229815133,0.1247212466947503,0.19347094355880567
-0.14999999999999947,0.25,0.15,0,0,1,0.44505664210843743,5.441569457029109e-05,0.0,0.41007981103558944,0.12380298017431611,0.18529313610372333
-0.09999999999999942,0.25,0.15,0,0,1,0.6707087968070099,7.865770407237531e-05,0.0,0.3996708412658885,0.1278101658148039,0.16923888812351498
-0.09999999999999942,0.30000000000000004,0.15,0,0,1,0.6498780590638898,4.414093062325114e-05,0.0,0.5183862438023707,0.1593606251926389,0.16025500483120786
-0.14999999999999947,0.30000000000000004,0.15,0,0,1,0.42828446952995375,7.420656165084585e-05,0.0,0.5224638627327352,0.15550132869886868,0.1788812184414943
-0.1999999999999995,0.30000000000000004,0.15,0,0,1,0.21927217536568994,4.865963760153626e-05,0.0,0.5447690705602604,0.1548177081919892,0.19076628408677912
-0.24999999999999956,0.30000000000000004,0.15,0,0,1,0.01778283762257207,4.062580117996007e-05,0.0,0.5825748437999723,0.16045043928876326,0.19488356685017055
-0.2999999999999996,0.30000000000000004,0.15,1,1,1,0.0015730314971678064,4.0748958894455196e-05,0.0,0.6351834273190513,0.16905657567893387,0.19078251728579612
-0.34999999999999964,0.30000000000000004,0.15,1,1,1,0.00012157591442424513,4.652182508745609e-05,0.029837836959655473,0.6168540547313421,0.18212948530589182,0.180923530526324
-0.3999999999999997,0.30000000000000004,0.15,1,1,1,5.953506869464115e-05,5.808684997048204e-05,0.053418612629718254,0.5129055566319107,0.19779112416127387,0.1695049323335523
-0.44999999999999973,0.30000000000000004,0.15,1,1,1,5.0135273811849706e-05,7.597708221401298e-05,0.06389653432467268,0.4260103998125877,0.21429839156016808,0.16022749111459372
-0.4999999999999998,0.30000000000000004,0.15,1,1,1,5.152971948786919e-05,9.522451524597223e-05,0.016894975830671566,0.35887097613185004,0.22698575954003858,0.1555566153251234
-0.5499999999999998,0.30000000000000004,0.15,1,1,1,0.001811095369010031,0.00010107670588131815,0.0,0.3142944461521906,0.22887567376251713,0.1564992466897749
-0.5999999999999999,0.30000000000000004,0.15,1,1,1,0.001948350729856778,8.10205554944548e-05,0.0,0.29432932378793675,0.2213025541092211,0.16274051081061955
-0.6499999999999999,0.30000000000000004,0.15,1,1,1,0.0019504495149212434,4.537690427949289e-05,0.0,0.2997791341721334,0.2086072287681093,0.17321046869517157
-0.7,0.30000000000000004,0.15,0,0,1,0.002434583275386191,4.4930562837383496e-05,0.0,0.3301893441178345,0.19190510786168122,0.18658608892916392
-0.75,0.30000000000000004,0.15,0,0,1,0.023066966409567596,7.014720945512956e-05,0.0,0.38405904426939275,0.17155766416452406,0.20135702886082632
-0.75,0.3500000000000001,0.15,0,0,1,0.050560604354266826,2.7995773586383057e-05,0.0,0.5091688776384813,0.16042331676359284,0.21384581014832962
-0.7,0.3500000000000001,0.15,0,0,1,0.033925692451845096,5.885692952633584e-05,0.0,0.45963572378594364,0.18242632230810688,0.20294441493170315
-0.6499999999999999,0.3500000000000001,0.15,0,0,1,0.010718466994897225,4.849277028427899e-05,0.0,0.43203033966417115,0.1993223357447449,0.19229385601309704
-0.5999999999999999,0.3500000000000001,0.15,1,1,1,0.0017256858939538582,3.972829451961916e-05,0.0,0.42736676065778756,0.21204762512446337,0.18364167206328716
-0.5499999999999998,0.3500000000000001,0.15,1,1,1,0.0016187609120206995,5.153578537424246e-05,0.0,0.4459512220814812,0.22074788770482914,0.17825470503209392
-0.4999999999999998,0.3500000000000001,0.15,1,1,1,0.001983813004050338,7.027004580426899e-05,0.0,0.48722073971786717,0.22504095100307384,0.17692857640413034
-0.44999999999999973,0.3500000000000001,0.15,1,1,1,0.0016381198331466783,7.746897204091815e-05,0.0,0.5497811031402229,0.22306523840496026,0.17971273056968554
-0.3999999999999997,0.3500000000000001,0.15,1,1,1,0.0019459448789022153,7.145178455441055e-05,0.0,0.6316937246705843,0.21485704086267246,0.18552469744289457
-0.34999999999999964,0.3500000000000001,0.15,1,1,1,0.0017424804857216372,6.067993506509027e-05,0.0,0.7310061439699149,0.2041379287915718,0.1919679601160349
-0.2999999999999996,0.3500000000000001,0.15,1,1,1,0.0019140174236324593,5.2681039346255616e-05,0.0,0.7458814947893355,0.19458513323993507,0.19564179579276647
-0.24999999999999956,0.3500000000000001,0.15,0,0,1,0.02284369785952817,5.042358293155081e-05,0.0,0.6990106118775277,0.1881694789655279,0.19347304176311997
-0.1999999999999995,0.3500000000000001,0.15,0,0,1,0.19345355703218328,5.5703609919817585e-05,0.0,0.6671344213285151,0.18567081977179478,0.18448721153294098
-0.14999999999999947,0.3500000000000001,0.15,0,0,1,0.3726904115113222,7.321454492020719e-05,0.0,0.6522313337243637,0.1881975480783819,0.16928447441188801
-0.09999999999999942,0.3500000000000001,0.15,0,0,1,0.5526416142892033,0.0001174775386173738,0.0,0.6586425628457051,0.19436575833873387,0.14820811817284563
-0.09999999999999942,0.40000000000000013,0.15,0,0,1,0.4504622602110533,8.035730343403926e-05,0.0,0.6809503060142506,0.21766249218795394,0.1347747757380975
-0.14999999999999947,0.40000000000000013,0.15,0,0,1,0.3047173368905548,0.0001240701000881248,0.0,0.7668487616064505,0.213587112583531,0.15791672848001162
-0.1999999999999995,0.40000000000000013,0.15,0,0,1,0.15399459620429085,7.053132920689225e-05,0.0,0.7809525477740302,0.2111876551878048,0.1755559338114842
-0.24999999999999956,0.40000000000000013,0.15,0,0,1,0.004772562809766518,5.076003847898648e-05,0.0,0.8056101276659997,0.21109740092034912,0.18809145317213993
-0.2999999999999996,0.40000000000000013,0.15,1,1,1,0.0019230258122293965,4.341814557274248e-05,0.0,0.845897543299434,0.21475241850731444,0.19543902765241872
-0.34999999999999964,0.40000000000000013,0.15,1,1,1,4.811227229240836e-05,4.221354652021335e-05,0.018880176913670166,0.8532284904480751,0.22059590146778024,0.19791497906783706
-0.3999999999999997,0.40000000000000013,0.15,1,1,1,3.786925951524788e-05,4.4686178894060466e-05,0.009029955657813282,0.7583379918896811,0.22529009928324137,0.19701576421076328
-0.44999999999999973,0.40000000000000013,0.15,1,1,1,0.0015062100939527492,4.909120642352492e-05,0.0,0.6809933768518599,0.22569767826792564,0.19508753168027707
-0.4999999999999998,0.40000000000000013,0.15,1,1,1,0.0015470361555364098,5.26749277209954e-05,0.0,0.622427603617635,0.22144350416314726,0.19426854651245384
-0.5499999999999998,0.40000000000000013,0.15,1,1,1,0.001687574866863386,5.1644071569935825e-05,0.0,0.583949792723204,0.21336656932384823,0.19582691413302128
-0.5999999999999999,0.40000000000000013,0.15,0,0,1,0.024421787374966204,4.409464759495083e-05,0.0,0.5665582203774382,0.20273929806639143,0.20003827136525099
-0.6499999999999999,0.40000000000000013,0.15,0,0,1,0.04657571078006192,3.4010559449119295e-05,0.0,0.5706944356256711,0.18848466841414205,0.20633932323045626
